address,city,state,datetime,numrounds,shotspotterflexid,lat,long
1205 E OLIVE AVE,Fresno,CA,01/08/2016 02:03:30,6,8784,36.7577976881,-119.796468031
308 N ANGUS AVE,Fresno,CA,01/08/2016 21:00:22,14,8796,36.7413772698,-119.776517908
2951-2975 E DIVISADERO ST,Fresno,CA,01/08/2016 22:33:01,3,8803,36.7433175174,-119.776099437
1112 E FRANKLIN AVE,Fresno,CA,01/09/2016 02:00:19,10,8810,36.7489307654,-119.797478138
CA-180,Fresno,CA,01/09/2016 05:29:41,3,8814,36.7524453989,-119.786989433
462 N EFFIE ST,Fresno,CA,01/10/2016 01:12:38,1,8829,36.7500089329,-119.788212360
713 N FERGER AVE,Fresno,CA,01/10/2016 00:47:25,1,8828,36.7525963682,-119.807617802
915 N FULTON ST,Fresno,CA,01/11/2016 19:09:10,1,8873,36.7542588341,-119.800325674
3250 N ANGUS AVE,Fresno,CA,01/12/2016 11:26:35,9,8890,36.7424768847,-119.769534762
240 N EFFIE ST,Fresno,CA,01/15/2016 22:51:02,2,8934,36.7460193727,-119.787778925
702 N PALM AVE,Fresno,CA,01/16/2016 02:50:22,1,8951,36.7523874545,-119.808085656
811 E DENNETT AVE,Fresno,CA,01/16/2016 01:58:27,5,8948,36.7563470516,-119.801196973
CA-180,Fresno,CA,01/16/2016 01:57:29,1,8946,36.7525226051,-119.787041743
3154 E MADISON AVE,Fresno,CA,01/20/2016 01:58:38,10,9049,36.7495379288,-119.771020073
801-899 N FIRST ST,Fresno,CA,01/20/2016 23:53:17,1,9068,36.7553727163,-119.772547475
501-533 N BROADWAY ST,Fresno,CA,01/26/2016 03:46:43,1,9197,36.7507661797,-119.802826419
285 N DIAMOND ST,Fresno,CA,01/26/2016 02:57:47,4,9192,36.7465206126,-119.778183344
611 N BROADWAY ST,Fresno,CA,01/26/2016 02:37:11,1,9191,36.7516075846,-119.802877076
2805 E MCKENZIE AVE,Fresno,CA,01/26/2016 00:54:24,10,9188,36.7470328374,-119.778155437
250-278 N 3RD ST,Fresno,CA,01/27/2016 06:54:14,8,9230,36.7460113096,-119.769208467
1155 N CLARK ST,Fresno,CA,01/28/2016 06:43:53,1,9244,36.7568360512,-119.785654326
385 N SAN PABLO AVE,Fresno,CA,01/30/2016 02:15:54,1,9291,36.7482349814,-119.794754063
934 N THORNE AVE,Fresno,CA,01/30/2016 00:57:31,1,9288,36.7545503357,-119.812558534
447 N YOSEMITE AVE,Fresno,CA,02/03/2016 01:26:05,9,9371,36.7496209004,-119.801728026
2303 E OLIVE AVE,Fresno,CA,02/03/2016 04:09:54,1,9373,36.7576894812,-119.783520103
2004 E CLAY AVE,Fresno,CA,02/04/2016 20:18:48,6,9396,36.7559819740,-119.787138158
2244 E TYLER AVE,Fresno,CA,02/04/2016 18:47:45,2,9393,36.7550365461,-119.784129492
3001-3099 E HARVEY AVE,Fresno,CA,02/06/2016 21:59:31,1,9428,36.7542455346,-119.773567954
3001-3099 E HARVEY AVE,Fresno,CA,02/06/2016 21:59:31,1,9428,36.7542455346,-119.773567954
531 N PALM AVE,Fresno,CA,02/07/2016 02:08:38,3,9439,36.7506909805,-119.808693959
2323 E MCKENZIE AVE,Fresno,CA,02/07/2016 22:44:56,2,9463,36.7476906746,-119.783192749
3441 E MADISON AVE,Fresno,CA,02/10/2016 02:45:24,1,9510,36.7495613926,-119.766491579
900-998 N THESTA ST,Fresno,CA,02/11/2016 22:55:30,4,9540,36.7550143714,-119.783496421
209 N DIANA ST,Fresno,CA,02/13/2016 13:33:29,4,9578,36.7454603296,-119.787542935
2205 E CLAY AVE,Fresno,CA,02/14/2016 14:10:01,5,9610,36.7564336080,-119.785320370
461 N ECHO AVE,Fresno,CA,02/15/2016 12:39:34,3,9635,36.7502076557,-119.804454966
136 E OLIVE AVE,Fresno,CA,02/17/2016 03:16:23,1,9671,36.7572880255,-119.810044731
810 N FERGER AVE,Fresno,CA,02/20/2016 00:11:05,1,9700,36.7533679638,-119.807339509
2241 E CLAY AVE,Fresno,CA,02/21/2016 03:34:33,2,9719,36.7564814733,-119.784426728
3432 E IOWA AVE,Fresno,CA,02/21/2016 18:22:53,3,9725,36.7440861003,-119.766692259
2335 E THOMAS AVE,Fresno,CA,02/24/2016 20:30:19,2,9790,36.7530034322,-119.782572929
351-399 N ORCHARD ST,Fresno,CA,02/28/2016 19:22:52,3,9877,36.7484728598,-119.774845327
326-340 N BLACKSTONE AVE,Fresno,CA,02/29/2016 00:32:09,1,9882,36.7470185324,-119.790507738
3303 E GRANT AVE,Fresno,CA,03/01/2016 20:36:08,2,9897,36.7490887145,-119.768982181
3494 E HAMMOND AVE,Fresno,CA,03/03/2016 03:15:52,8,9921,36.7583513016,-119.766059538
1854 FULTON ST,Fresno,CA,03/03/2016 18:50:37,2,9926,36.7428996196,-119.799856108
