Case #,Event Number,Priority,Call for Service,Labels,Event Origin,Queue,Event Status,Dispatch Area,District,Zone,Narrative Keywords,Primary Units,Involved Units,Total Units,Parent Event Number,Is Active,Is Forced Address,Disposition Code,Disposition Description,Received Date,Cleared Date,Address,Longitude,Latitude
,200212343,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 225484
Rounds: 6
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 263.209 meters",,,0,200212329,No,No,,,2/12/2020 18:17,,"650 S 13TH ST, RICHMOND, CA, 94804",-122.356646,37.923056
,200212344,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 225485
Rounds: 2
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 227.436 meters",,,0,200212329,No,No,,,2/12/2020 18:18,,"650 S 13TH ST, RICHMOND, CA, 94804",-122.356646,37.923056
,200213020,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 225502
Rounds: 1
Source: RichmondCA
Incident Type: Possible Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 591.242 meters",1L4,"1L4, 1L5",2,,No,No,R23,UNABLE TO LOCATE,2/13/2020 1:13,2/13/2020 1:19,"979 23RD ST, RICHMOND, CA, 94804",-122.34778,37.946839
,200213308,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 225523
Rounds: 4
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 319.226 meters",3L4,"3L4, 3L5, E22, S62",4,,No,No,R23,UNABLE TO LOCATE,2/13/2020 18:19,2/13/2020 18:37,"626 22ND ST, RICHMOND, CA, 94804",-122.348248,37.940999
,200213309,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 225524
Rounds: 4
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 530.241 meters",3L5,"3L4, 3L5",2,,No,No,R23,UNABLE TO LOCATE,2/13/2020 18:20,2/13/2020 18:40,"536 21ST ST, RICHMOND, CA, 94801",-122.349344,37.939223
,200214016,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 225545
Rounds: 3
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 324.36 meters",1L3,"1L1, 1L3",2,,No,No,R12,SERVICE RENDERED NO CRIME,2/14/2020 1:19,2/14/2020 1:25,"401 S 26TH ST, RICHMOND, CA, 94804",-122.344894,37.926412
,200215016,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,Outside City Limits,NORTH_RICHMOND,99,"Shotspotter ID: 225577
Rounds: 3
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 714.947 meters",S65,S65,1,,No,No,R23,UNABLE TO LOCATE,2/15/2020 1:18,2/15/2020 2:19,"561 W GERTRUDE AVE, RICHMOND, CA, 94801",-122.376148,37.956786
2020-2001842,200216294,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 225745
Rounds: 22
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 245.12 meters",1L3,"1L1, 1L17, 1L2, 1L3",4,,No,No,RTF,REPORT TO FOLLOW,2/16/2020 20:52,2/16/2020 22:21,"4951-4977 HARTNETT AVE, RICHMOND, CA, 94804",-122.323651,37.916644
2020-2001882,200217281,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 225811
Rounds: 19
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 314.517 meters",13A6,"13A6, 3K3, 3L1, 3L17, 3L2, 3L4, 3L6, S52, W114",9,,No,No,RTF,REPORT TO FOLLOW,2/17/2020 19:35,2/17/2020 22:59,"1501 CUTTING BLVD, S 15TH ST & S 16TH ST, RICHMOND, CA, 94804",-122.354927,37.925308
,200217285,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 225812
Rounds: 3
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 560.093 meters",3L17,3L17,1,,No,No,R23,UNABLE TO LOCATE,2/17/2020 19:39,2/17/2020 21:12,"3022 LOWELL AVE, RICHMOND, CA, 94804",-122.337433,37.949048
,200217351,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 225822
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 124.142 meters",1L2,1L2,1,,No,No,R23,UNABLE TO LOCATE,2/17/2020 23:49,2/18/2020 0:11,"1625 OHIO AVE, RICHMOND, CA, 94804",-122.353555,37.930986
,200218352,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 225851
Rounds: 5
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 205.527 meters",3L2,"3K3, 3L1, 3L2",3,,No,No,R23,UNABLE TO LOCATE,2/18/2020 18:20,2/18/2020 18:39,"2211 HOFFMAN BLVD, RICHMOND, CA, 94804",-122.348237,37.922765
,200218388,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 225856
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 164.16 meters",3K3,3K3,1,,No,No,R23,UNABLE TO LOCATE,2/18/2020 20:30,2/18/2020 20:47,"5050 HARTNETT AVE, at CONNECTING ROAD, RICHMOND, CA, 94804",-122.323655,37.915668
,200219199,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 225882
Rounds: 7
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 190.981 meters",S61,"2L17, S61",2,,No,No,R22,SECURITY CHECK,2/19/2020 12:49,2/19/2020 12:55,"2217 NEVIN AVE, RICHMOND, CA, 94804",-122.34806,37.937053
,200220391,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 225966
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 73.7896 meters",1L9,"1A7, 1L9",2,,No,No,R23,UNABLE TO LOCATE,2/20/2020 21:56,2/20/2020 22:13,"2134 MACDONALD AVE, RICHMOND, CA, 94801",-122.348879,37.935445
,200220405,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 225967
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 268.508 meters",1A7,"1A7, 1L2, 1L5",3,,No,No,R23,UNABLE TO LOCATE,2/20/2020 22:30,2/20/2020 22:38,"340 37TH ST, RICHMOND, CA, 94805",-122.333802,37.934667
,200221053,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 225969
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 709.404 meters",1L3,"1L13, 1L3",2,,No,No,R23,UNABLE TO LOCATE,2/21/2020 3:50,2/21/2020 3:59,"350 CARLSON BLVD, RICHMOND, CA, 94804",-122.33914,37.927492
,200224259,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,6,"Shotspotter ID: 226172
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 103.427 meters",3L1,3L1,1,,No,No,R23,UNABLE TO LOCATE,2/24/2020 17:35,2/24/2020 17:43,"145 6TH ST, RICHMOND, CA, 94801",-122.363997,37.933272
,200224302,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 226175
Rounds: 5
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 497.815 meters",,,0,200224303,No,No,,,2/24/2020 19:32,,"345 S 38TH ST, RICHMOND, CA, 94804",-122.33368,37.927096
,200225361,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 226265
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 136.22 meters",3L6,3L6,1,,No,No,R23,UNABLE TO LOCATE,2/25/2020 21:01,2/25/2020 21:20,"933 TRIANGLE CT, RICHMOND, CA, 94801",-122.360034,37.947606
,200227428,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 226377
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 67.909 meters",3L6,"3L4, 3L5, 3L6, K25, K29",5,,No,No,R23,UNABLE TO LOCATE,2/27/2020 20:17,2/27/2020 20:33,"953 9TH ST, RICHMOND, CA, 94801",-122.360988,37.947641
,200227431,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 226378
Rounds: 5
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 561.032 meters",,,0,200227428,No,No,,,2/27/2020 20:20,,"938 9TH ST, RICHMOND, CA, 94801",-122.360315,37.947084
,200228051,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 226389
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 160.675 meters",1L7,"1L4, 1L7, S53",3,,No,No,R23,UNABLE TO LOCATE,2/28/2020 2:53,2/28/2020 3:00,"4300 MACDONALD AVE, RICHMOND, CA, 94805",-122.328511,37.932779
,200228381,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,1,"Shotspotter ID: 226417
Rounds: 2
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 186.66 meters",1K5,"1K5, 1L2, 1L7, S55",4,,No,No,R23,UNABLE TO LOCATE,2/28/2020 21:44,2/28/2020 22:07,"201 OHIO AVE, RICHMOND, CA, 94804",-122.367561,37.931044
,200302017,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,6,"Shotspotter ID: 226506
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 103.761 meters",1L6,"1L16, 1L6",2,,No,No,R23,UNABLE TO LOCATE,3/2/2020 2:37,3/2/2020 2:44,"921 MACDONALD AVE, RICHMOND, CA, 94801",-122.36034,37.935963
2020-2002450,200302320,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 226525
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 830.526 meters",3L3,3L3,1,,No,No,RTF,REPORT TO FOLLOW,3/2/2020 20:28,3/2/2020 20:55,"100 37TH ST, RICHMOND, CA, 94805",-122.333931,37.932262
2020-2002451,200302328,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 226527
Rounds: 18
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 6.55938 meters",3L3,"3K1, 3L2, 3L3, 3L4, 3L5, E22, S62",7,,No,No,RTF,REPORT TO FOLLOW,3/2/2020 20:54,3/2/2020 21:42,"960 S 47TH ST, RICHMOND, CA, 94804",-122.326784,37.918478
,200303010,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 226548
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 149.543 meters",1L2,"1L1, 1L2",2,,No,No,R23,UNABLE TO LOCATE,3/3/2020 0:23,3/3/2020 0:34,"519 S 17TH ST, RICHMOND, CA, 94804",-122.353373,37.924719
,200303040,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,8,"Shotspotter ID: 226552
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 381.287 meters",1L8,"1L8, 1L9",2,,No,No,R23,UNABLE TO LOCATE,3/3/2020 2:30,3/3/2020 2:35,"2200 HILLTOP MALL RD, RICHMOND, CA, 94806",-122.329529,37.980877
,200303399,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,,2,"Shotspotter ID: 226601
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 21.4149 meters",,,0,,No,No,NPA,NO POLICE ACTION,3/3/2020 21:56,3/3/2020 21:58,"MARINA WAY S & HOFFMAN BLVD, MARINA WAY S & HOFFMAN BLVD, RICHMOND, CA, 94804",-122.355885,37.92256
,200304019,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,6,"Shotspotter ID: 226625
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 98.7661 meters",1L4,"1K6, 1L1, 1L4, S53",4,,No,No,R23,UNABLE TO LOCATE,3/4/2020 0:59,3/4/2020 1:15,"23 7TH ST, RICHMOND, CA, 94801",-122.363072,37.931841
,200304395,P2,1075 - SHOTS FIRED (JUST OCCURED),,Other,Dispatch Queue,Cleared,RPD,,,,3L9,3L9,1,,No,Yes,R10,MISC. EXTRA PATROL,3/4/2020 21:05,3/4/2020 21:14,HILLTOP DR/E  I 80,,
,200304397,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,9,"GUNFIRE: 4 Rounds at , El Sobrante, CA; March 4th 2020 21:03:46; ShotSpotter ID 927-8255; Dot (37.9763613675768, -122.315982441057)",,,0,200304395,No,No,,,3/4/2020 21:06,,"HILLTOP DR & I 80, HILLTOP DR & I 80, RICHMOND, CA, 94806",-122.318342,37.976167
,200306021,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 226874
Rounds: 3
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 106.639 meters",1L5,"1K6, 1L4, 1L5, S53",4,,No,No,R23,UNABLE TO LOCATE,3/6/2020 1:08,3/6/2020 1:27,"952 9TH ST, RICHMOND, CA, 94801",-122.360601,37.947601
,200306023,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 226873
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 83.8382 meters",,,0,200306021,No,No,,,3/6/2020 1:08,,"951 9TH ST, RICHMOND, CA, 94801",-122.360908,37.947617
,200306031,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,Outside City Limits,SAN_PABLO,71,"Shotspotter ID: 226878
Rounds: 1
Source: RichmondCA
Incident Type: Possible Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 142.269 meters",,,0,,No,No,NPA,NO POLICE ACTION,3/6/2020 1:45,3/6/2020 1:47,"100 AUSTIN CT, SAN PABLO, CA, 94806",-122.340732,37.971978
,200306056,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 226881
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 338.68 meters",1L3,"1K6, 1L3",2,,No,No,R23,UNABLE TO LOCATE,3/6/2020 3:25,3/6/2020 3:41,"160 S 41ST ST, RICHMOND, CA, 94804",-122.330614,37.929773
,200306418,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,8,"Shotspotter ID: 226896
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 126.592 meters",1L8,"1L8, 1L9",2,,No,No,R23,UNABLE TO LOCATE,3/6/2020 22:33,3/6/2020 22:49,"3121 ERLA WAY, RICHMOND, CA, 94806",-122.333536,37.976211
,200307003,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,5,"Shotspotter ID: 226898
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 202.919 meters",1L6,"1K5, 1L6, 1L7",3,,No,No,R23,UNABLE TO LOCATE,3/7/2020 0:21,3/7/2020 0:33,"1011 PRESCO LN, RICHMOND, CA, 94801",-122.366624,37.945121
,200307078,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,1,"Shotspotter ID: 226903
Rounds: 1
Source: RichmondCA
Incident Type: Possible Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 174.084 meters",1L1,"1L1, 1L2",2,,No,No,R23,UNABLE TO LOCATE,3/7/2020 5:38,3/7/2020 5:52,"534 OHIO AVE, RICHMOND, CA, 94804",-122.364197,37.930665
2020-2002645,200307299,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,2,"Shotspotter ID: 226939
Rounds: 6
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 350.007 meters",1L2,"1L13, 1L2, 1L3, S65",4,,No,No,RTF,REPORT TO FOLLOW,3/7/2020 19:21,3/7/2020 19:39,"2324 MAINE AVE, RICHMOND, CA, 94804",-122.346931,37.927793
,200308283,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 227013
Rounds: 4
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 133.731 meters",1L7,"1K2, 1L6, 1L7",3,,No,No,R23,UNABLE TO LOCATE,3/8/2020 20:26,3/8/2020 20:41,"341 42ND ST, RICHMOND, CA, 94805",-122.329905,37.934153
,200308284,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 227014
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 173.479 meters",1L7,"1L6, 1L7",2,,No,No,R23,UNABLE TO LOCATE,3/8/2020 20:27,3/8/2020 20:47,"450 44TH ST, RICHMOND, CA, 94805",-122.327652,37.935059
,200309313,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 227056
Rounds: 1
Source: RichmondCA
Incident Type: Possible Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 131.675 meters",1K6,1K6,1,,No,No,R23,UNABLE TO LOCATE,3/9/2020 21:05,3/9/2020 21:09,"2700 MACDONALD AVE, 27TH ST & 28TH ST, RICHMOND, CA, 94804",-122.342966,37.934981
,200309314,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,"POSSIBLE GUNFIRE: 1 Round at 1st St, Richmond, CA; March 9th 2020 21:05:01; ShotSpotter ID 63-227056; Dot (37.9406716859974, -122.368178356418)
",3L4,"3L4, 3L5, 3L6",3,,No,No,R23,UNABLE TO LOCATE,3/9/2020 21:08,3/9/2020 21:40,"1ST ST & RIPLEY AVE, 1ST ST & RIPLEY AVE (1ST & RIPLEY), RICHMOND, CA, 94801",-122.368372,37.940343
,200312019,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,1,"Shotspotter ID: 227153
Rounds: 15
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 135.71 meters",1L2,1L2,1,200312020,No,No,,,3/12/2020 1:09,,"4701 HARTNETT AVE, RICHMOND, CA, 94804",-122.326959,37.916864
,200312053,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,6,"Shotspotter ID: 227157
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 373.158 meters",2L1,2L1,1,,No,No,R10,MISC. EXTRA PATROL,3/12/2020 6:39,3/12/2020 7:26,"1218 NEVIN AVE, RICHMOND, CA, 94801",-122.357559,37.936601
,200313051,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 227196
Rounds: 6
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 158.258 meters",1L4,"1L4, 1L5, 1L7",3,,No,No,R23,UNABLE TO LOCATE,3/13/2020 3:50,3/13/2020 4:11,"1401 PENNSYLVANIA AVE, RICHMOND, CA, 94801",-122.356206,37.942317
2020-2002901,200314014,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 227245
Rounds: 5
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 359.84 meters",1L4,"1K5, 1L3, 1L4, W114",4,,No,No,RTF,REPORT TO FOLLOW,3/14/2020 0:59,3/14/2020 1:55,"1629 GARVIN AVE, RICHMOND, CA, 94801",-122.353992,37.944
,200315066,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,8,"Shotspotter ID: 227276
Rounds: 6
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 412.971 meters",2L8,"2L8, 2L9",2,,No,No,R23,UNABLE TO LOCATE,3/15/2020 9:40,3/15/2020 9:51,"2430 ABERDEEN WAY, RICHMOND, CA, 94806",-122.340466,37.974808
,200316018,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,6,"Shotspotter ID: 227291
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 197.505 meters",1L4,"1L4, 1L6, 1L7",3,,No,No,R23,UNABLE TO LOCATE,3/16/2020 1:33,3/16/2020 1:45,"101 20TH ST, RICHMOND, CA, 94801",-122.350628,37.932734
2020-2002952,200316024,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 227292
Rounds: 5
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 338.376 meters",1L3,"1K2, 1L3",2,,No,No,RTF,REPORT TO FOLLOW,3/16/2020 2:03,3/16/2020 2:19,"3207 OHIO AVE, RICHMOND, CA, 94804",-122.339415,37.931095
,200316249,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,SAN_PABLO,73,"Shotspotter ID: 227314
Rounds: 1
Source: RichmondCA
Incident Type: Single Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 272.239 meters",,,0,,No,No,NPA,NO POLICE ACTION,3/16/2020 20:24,3/16/2020 20:26,"1436 23RD ST, SAN PABLO, CA, 94806",-122.347097,37.954672
,200316251,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,5,SHOT SPOTTER ID# 99-189353..  PER SAN PABLO PD RECEIVED AT 22:33HRS SHOWING 4 RDS IN THE UPPER LEFT CORNER OF THE SOUTHERN BUILDING,3L5,"3L5, 3L6",2,,No,No,R23,UNABLE TO LOCATE,3/16/2020 20:38,3/16/2020 21:38,"810 MARKET AVE, RICHMOND, CA, 94801",-122.359356,37.958537
,200317236,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,3,"Shotspotter ID: 227342
Rounds: 1
Source: RichmondCA
Incident Type: Possible Gunshot
Incident Workflow Status: RVD
Sensor Name: , Distance 397.515 meters",3K3,"3K3, 3L1",2,,No,No,R23,UNABLE TO LOCATE,3/17/2020 19:35,3/17/2020 19:45,"770 CARLSON BLVD, RICHMOND, CA, 94804",-122.333065,37.921618
,200317277,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,7,"Shotspotter ID: 227348
Rounds: 2
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 284.993 meters",1L7,"1L7, 3L7",2,,No,No,R23,UNABLE TO LOCATE,3/17/2020 21:44,3/17/2020 22:05,"2888 ESMOND AVE, RICHMOND, CA, 94804",-122.338983,37.945005
,200318137,P2,1075 - SHOTS FIRED (JUST OCCURED),,Shotspotter,Dispatch Queue,Cleared,RPD,RICHMOND,4,"Shotspotter ID: 227362
Rounds: 7
Source: RichmondCA
Incident Type: Multiple Gunshots
Incident Workflow Status: RVD
Sensor Name: , Distance 96.5911 meters",2A6,"2A6, 2L5",2,,No,No,R23,UNABLE TO LOCATE,3/18/2020 13:36,3/18/2020 13:41,"2217 MACDONALD AVE, RICHMOND, CA, 94801",-122.348022,37.935977
