Case #,Event Number,Priority,Call for Service,Labels,Event Origin,Queue,Event Status,Dispatch Area,District,Zone,Narrative Keywords,Primary Units,Involved Units,Total Units,Parent Event Number,Is Active,Is Forced Address,Disposition Code,Disposition Description,Received Date,Cleared Date,Address,Longitude,Latitude
,181222009,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 1 Round at 822 Florida Ave, Richmond, CA; December 22nd 2018 00:24:39; ShotSpotter ID 63-186340; Dot (37.929222343, -122.361325933)
",1L1,"1L1, 1L7",2,,No,No,R23,UNABLE TO LOCATE,12/22/2018 0:27,12/22/2018 0:44,"822 FLORIDA AVE, S 8TH ST & S 9TH ST, RICHMOND, CA, 94804",-122.36179,37.929339
,181222010,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 1 Round at 1430 Virginia Ave, Richmond, CA; December 22nd 2018 00:30:46; ShotSpotter ID 63-186342; Dot (37.9265610306, -122.354955374)",1L1,1L1,1,,No,No,R10,MISC. EXTRA PATROL,12/22/2018 0:32,12/22/2018 0:44,"1430 VIRGINIA AVE, MARINA WAY S & S 15TH ST, RICHMOND, CA, 94804",-122.355602,37.926501
,181222043,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 12 Rounds at 817 18th St, Richmond, CA; December 22nd 2018 02:43:45; ShotSpotter ID 63-186348; Dot (37.9443020843, -122.352201964)",1K9,"1K9, 1L8",2,,No,No,R22,SECURITY CHECK,12/22/2018 2:44,12/22/2018 2:53,"817 18TH ST, GARVIN AVE & GAYNOR AVE, RICHMOND, CA, 94801",-122.35219,37.944128
,181222268,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,"GUNFIRE: 1 Round at 446 42nd St, Richmond, CA; December 22nd 2018 17:09:40; ShotSpotter ID 63-186369; Dot (37.9351773672, -122.329462333)
",3L7,3L7,1,,No,No,R23,UNABLE TO LOCATE,12/22/2018 17:11,12/22/2018 17:41,"446 42ND ST, NEVIN AVE & BARRETT AVE, RICHMOND, CA, 94805",-122.329376,37.935069
,181222308,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,1075 ACTIVATION / SINGLE SHOT .. SHOWING ON THE CORNER OF 23RD ST AND BISSELL AVE ..... THERE IS A CAR FIRE ,,,0,181222310,No,No,,,12/22/2018 19:07,,"243 23RD, BISSELL AVE & EXCHANGE PL, RICHMOND, CA, 94804",-122.347662,37.934976
,181223006,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"GUNFIRE: 3 Rounds at 400 20th St, Richmond, CA; December 23rd 2018 00:24:10; ShotSpotter ID 63-186400; Dot (37.9369320455, -122.350285393)",1L4,"1L2, 1L4",2,,No,No,R23,UNABLE TO LOCATE,12/23/2018 0:27,12/23/2018 0:36,"400 20TH ST, RICHMOND, CA, 94801",-122.350318,37.937208
,181224358,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 3 Rounds at 419 20th S St, Richmond, CA; December 24th 2018 23:43:24; ShotSpotter ID 63-186841; Dot (37.9262497051, -122.35083987)
",1L2,"1L1, 1L2, E23",3,,No,No,R23,UNABLE TO LOCATE,12/24/2018 23:44,12/24/2018 23:57,"419 S 20TH ST, RICHMOND, CA, 94804",-122.350668,37.926179
,181225004,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,3,"GUNFIRE: 10 Rounds at 105 31st S St, Richmond, CA; December 25th 2018 00:04:06; ShotSpotter ID 63-186871; Dot (37.9307972623, -122.340507935)
",1L2,"1L1, 1L2, 1L3",3,,No,No,R23,UNABLE TO LOCATE,12/25/2018 0:05,12/25/2018 0:22,"105 S 31ST ST, OHIO AVE & CENTER AVE, RICHMOND, CA, 94804",-122.340496,37.930834
,181225277,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,6 rounds,3L5,"3L3, 3L5",2,,No,No,R23,UNABLE TO LOCATE,12/25/2018 20:52,12/25/2018 21:03,"3RD ST & BISSELL AVE, 3RD ST & BISSELL AVE (3RD & BISSELL), RICHMOND, CA, 94801",-122.36665,37.93407
,181225325,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,,9 ROUND ,1L7,"1L7, E23",2,,No,Yes,R23,UNABLE TO LOCATE,12/25/2018 23:12,12/25/2018 23:41,1409 FRED JACKSSON,,
2018-2015102,181226015,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,7,2 ROUND ,1L2,"1L2, 1L3, 1L4, 1L6, S63",5,,No,No,RTF,REPORT TO FOLLOW,12/26/2018 1:01,12/26/2018 6:50,"3615 MCBRYDE, 36TH ST & 37TH ST, RICHMOND, CA, 94805",-122.332703,37.947147
,181226272,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,3,"GUNFIRE: 9 Rounds at 5000 Hartnett Ave, Richmond, CA; December 26th 2018 19:05:49; ShotSpotter ID 63-187149; Dot (37.9166163473, -122.325724814)
",,,0,181226269,No,No,,,12/26/2018 19:08,,"5000 HARTNETT, at CONNECTING ROAD, RICHMOND, CA, 94804",-122.32389,37.915892
,181228035,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,,"SHOWS ON CUTTING, NEAR THE DEAD END OF S 8TH ST / SHOWS IN THE BUSHES , 82 FT FROM THE CURB",1L1,"1L1, 1L2",2,,No,Yes,R23,UNABLE TO LOCATE,12/28/2018 6:21,12/28/2018 6:33,W 580 / CUTTING,,
,181229007,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,4,"unk how many shots
",1L6,"1L3, 1L6, E26",3,,No,No,R23,UNABLE TO LOCATE,12/29/2018 0:23,12/29/2018 0:31,"2016 MACDONALD AVE, at 21ST ST, RICHMOND, CA, 94801",-122.350388,37.935615
,181230021,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,14 ROUNDS  SHOWING IN PARKING LOT OF S 21ST / MAC,1L2,"1K5, 1L1, 1L2, 1L3, 1L4, 1L6, E26, S56",8,,No,No,R23,UNABLE TO LOCATE,12/30/2018 1:44,12/30/2018 2:26,"458 S 16TH ST, VIRGINIA AVE & CUTTING BLVD, RICHMOND, CA, 94804",-122.353878,37.925775
,181230258,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,,,1075,3L1,"3L1, 3L2, 3L3, 3L4",4,,No,Yes,R23,UNABLE TO LOCATE,12/30/2018 18:18,12/30/2018 18:36,522 S 16TH ST,,
,181230266,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"GUNFIRE: 2 Rounds at 535 17th S St, Richmond, CA; December 30th 2018 18:35:57; ShotSpotter ID 63-187370; Dot (37.9244803242, -122.353353463)",3L2,"3L1, 3L2",2,,No,No,R23,UNABLE TO LOCATE,12/30/2018 18:37,12/30/2018 18:49,"535 S 17TH ST, CUTTING BLVD & POTRERO AVE, RICHMOND, CA, 94804",-122.353157,37.924779
,181230286,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,"POSSIBLE GUNFIRE: 1 Round at 531 Ohio Ave, Richmond, CA; December 30th 2018 20:17:44; ShotSpotter ID 63-187378; Dot (37.931096771, -122.363931311)",3L6,3L6,1,,No,No,R23,UNABLE TO LOCATE,12/30/2018 20:19,12/30/2018 20:35,"531 OHIO, S 5TH ST & S 6TH ST, RICHMOND, CA, 94804",-122.364667,37.930922
,181230322,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,"1  round  
",3L1,"1L3, 3L1",2,,No,No,R23,UNABLE TO LOCATE,12/30/2018 22:40,12/30/2018 22:45,"400 W OHIO AVE, at S 1ST ST, RICHMOND, CA, 94804",-122.373266,37.930752
,181231007,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,6,1  round  ,1L6,"1L1, 1L6",2,,No,No,R23,UNABLE TO LOCATE,12/31/2018 0:47,12/31/2018 0:52,"1100 MACDONALD AVE, RICHMOND, CA, 94801",-122.358315,37.935166
,181231264,P2,1075 - SHOTS FIRED (JUST OCCURED),,Phone,Dispatch Queue,Cleared,RPD,RICHMOND,2,2 ROUNDS ,3L2,"3L2, 3L6",2,,No,No,R23,UNABLE TO LOCATE,12/31/2018 19:36,12/31/2018 19:58,"S 13TH ST & MAINE AVE, S 13TH ST & MAINE AVE (S 13TH & MAINE), RICHMOND, CA, 94804",-122.35693,37.928001
