primary_key,date_received,time_received,district,zone,grid,municipality,county,case_type_translation,final_case_type_translation,cleared_by_translation,report_flag
SA2015204065,7/18/2015,:34:46,2,2B,531,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015204171,7/18/2015,2:43:09,2,2C,602,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015205579,7/19/2015,11:52:10,2,2A,515,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015206097,7/19/2015,21:31:38,2,2B,525,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015206374,7/20/2015,3:41:28,2,2B,523,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015208186,7/21/2015,20:07:21,2,2C,602,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015208184,7/21/2015,20:05:36,2,2A,504,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015208757,7/22/2015,12:34:13,2,2B,552,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015208843,7/22/2015,13:47:10,2,2B,525,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015208845,7/22/2015,13:47:58,2,2B,525,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015210444,7/23/2015,23:59:29,2,2B,523,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015210445,7/23/2015,23:59:13,2,2B,523,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015211523,7/24/2015,22:42:39,2,2B,541,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015211514,7/24/2015,22:35:30,2,2B,541,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015211588,7/24/2015,23:26:04,2,2B,543,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015211688,7/25/2015,1:01:25,2,2B,553,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015211784,7/25/2015,3:08:08,2,2B,525,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015213632,7/26/2015,23:31:50,2,2A,502,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015213625,7/26/2015,23:16:44,2,2B,544,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015213652,7/27/2015,:2:33,2,2A,504,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015214683,7/28/2015,:25:27,2,2B,564,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015214715,7/28/2015,1:30:08,2,2C,602,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015215294,7/28/2015,16:18:56,2,2A,505,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015214717,7/28/2015,1:35:28,2,2C,602,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015214767,7/28/2015,3:23:48,2,2B,544,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015216725,7/29/2015,22:52:18,2,2C,603,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015217793,7/30/2015,22:52:51,2,2B,523,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015217778,7/30/2015,22:36:34,2,2B,542,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015218157,7/31/2015,10:07:21,2,2B,563,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015217880,7/31/2015,:46:56,2,2B,564,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015217944,7/31/2015,2:39:06,2,2C,603,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015217891,7/31/2015,1:03:14,2,2B,525,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015219019,8/1/2015,:29:50,2,2B,551,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015219940,8/1/2015,22:34:46,2,2A,513,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015220927,8/2/2015,22:41:04,2,2B,543,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015221934,8/3/2015,23:32:09,2,2B,564,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015221024,8/3/2015,:33:06,2,2A,502,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015221111,8/3/2015,4:14:47,2,2B,553,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015222936,8/4/2015,20:58:58,2,2B,563,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015223184,8/5/2015,3:10:45,2,2B,531,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015226238,8/7/2015,22:25:06,2,2B,552,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015226468,8/8/2015,2:54:36,2,2A,513,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015227255,8/8/2015,21:28:43,2,2C,602,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015226445,8/8/2015,2:18:43,2,2B,531,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
