Type,Respond ID,Date,Time,Address,Zone,Rounds,CAD ID,Beat,District,Latitude,Longitude
Single Gunshot,99-183714,1/14/20,23:58:08,"2121 Espanola Dr, San Pablo, CA 94806",SanPabloCA,1,,1,,37.97974512,-122.3409494
Single Gunshot,99-183201,1/11/20,21:30:04,"1847 23rd St, San Pablo, CA 94806",SanPabloCA,1,20-1229,3,,37.95798095,-122.3473046
Multiple Gunshots,99-182824,1/9/20,23:56:34,"1923 Alfreda Blvd, San Pablo, CA 94806",SanPabloCA,2,19-1037,3,,37.95270854,-122.3507725
Multiple Gunshots,99-182823,1/9/20,23:56:10,"2230 Alfreda Blvd, San Pablo, CA 94806",SanPabloCA,2,19-1037,3,,37.9526336,-122.3477426
Multiple Gunshots,99-182802,1/8/20,22:11:12,"2891 15th St, San Pablo, CA 94806",SanPabloCA,5,,1,,37.97330627,-122.3489512
Probable Gunfire,99-182737,1/8/20,14:19:20,"1327 Bush Ave, San Pablo, CA 94806",SanPabloCA,1,s20-867,3,,37.95591353,-122.3562585
Probable Gunfire,99-182559,1/8/20,7:12:23,"1002 Cedar Terrace, San Pablo, CA 94806",SanPabloCA,1,,2,,37.95900959,-122.33779
Single Gunshot,99-182551,1/7/20,23:41:47,"1601 Miner Ave, San Pablo, CA 94806",SanPabloCA,1,,1,,37.97832683,-122.3462323
Multiple Gunshots,99-182433,1/6/20,2:00:48,"1499 Emeric Ave, San Pablo, CA 94806",SanPabloCA,2,19-0595,3,,37.95449651,-122.3551777
Single Gunshot,99-182419,1/5/20,18:10:48,"2816 Del Camino Dr, San Pablo, CA 94806",SanPabloCA,1,E20-559,1,,37.97039912,-122.3423306
Multiple Gunshots,99-180920,1/1/20,0:39:12,"5274 Riverside Ave, San Pablo, CA 94806",SanPabloCA,3,20-00012,2,,37.95294754,-122.3292903
Single Gunshot,99-180887,1/1/20,0:30:50,"1792 Sanford Ave, San Pablo, CA 94806",SanPabloCA,1,,3,,37.95119531,-122.3523488
Multiple Gunshots,99-180794,1/1/20,0:15:35,"2708 18th St, San Pablo, CA 94806",SanPabloCA,10,,1,,37.96964405,-122.3474785
Multiple Gunshots,99-180714,1/1/20,0:02:34,"1943 Regello Ct, San Pablo, CA 94806",SanPabloCA,6,,3,,37.96309072,-122.3491901
Multiple Gunshots,99-180589,12/31/19,23:38:42,"2411 18th St, San Pablo, CA 94806",SanPabloCA,18,,1,,37.96640796,-122.3485424
Multiple Gunshots,99-177421,12/31/19,22:00:51,"1805 Alfreda Blvd, San Pablo, CA 94806",SanPabloCA,6,,3,,37.95284162,-122.3518213
Single Gunshot,99-177143,12/31/19,20:26:29,"5290 Riverside Ave, San Pablo, CA 94806",SanPabloCA,1,,2,,37.95314179,-122.329081
Multiple Gunshots,99-176985,12/31/19,19:23:31,"2729 Broadway Ave, San Pablo, CA 94806",SanPabloCA,4,,1,,37.97017577,-122.347499
Probable Gunfire,99-175152,12/26/19,1:24:45,"1432 Amador St, San Pablo, CA 94806",SanPabloCA,6,19-38839,2,,37.95423845,-122.3282705
Multiple Gunshots,99-175003,12/24/19,23:08:04,"2917 20th St, San Pablo, CA 94806",SanPabloCA,5,19-38765,1,,37.9727106,-122.3446691
Multiple Gunshots,99-174906,12/24/19,21:35:51,"1875 Mason St, San Pablo, CA 94806",SanPabloCA,7,19-38752,3,,37.95777785,-122.3453217
Probable Gunfire,99-174723,12/24/19,15:11:41,"1605 Hillcrest Rd, San Pablo, CA 94806",SanPabloCA,1,19-38729,2,,37.9558401,-122.3272027
Probable Gunfire,99-174588,12/23/19,0:48:32,"2240 Stone St, San Pablo, CA 94806",SanPabloCA,1,19-38603,1,,37.96572637,-122.3453075
Probable Gunfire,99-174183,12/19/19,3:47:05,"2451 Church Ln, San Pablo, CA 94806",SanPabloCA,1,19-38263,3,,37.96053775,-122.3384097
Multiple Gunshots,99-174092,12/15/19,21:18:27,"1709 17th St, San Pablo, CA 94806",SanPabloCA,7,19-37918,3,,37.9568565,-122.3530493
Multiple Gunshots,99-173884,12/15/19,0:42:29,"1440 Colin St, San Pablo, CA 94806",SanPabloCA,9,19-37849,1,,37.97024774,-122.350155
Multiple Gunshots,99-173882,12/14/19,23:23:25,"1909 Dodson St, San Pablo, CA 94806",SanPabloCA,2,19-37844,3,,37.95785005,-122.3426215
