Type,ID,Date,Time,Rnds,Beat,DISPO,returned address,Latitude,Longitude
,,2-Feb-13,2:50:06,1,,,"338 Fillmore St, San Francisco, CA 94117, USA",37.77260661,-122.4300458
,,2-Feb-13,4:25:20,5,,,"174-178 Dakota St, San Francisco, CA 94107, USA",37.75310242,-122.3952507
,,3-Feb-13,16:55:07,1,,,"2880-2886 Harrison St, San Francisco, CA 94110, USA",37.75138124,-122.4118432
,,3-Feb-13,17:01:25,1,,,"1249 Hampshire St, San Francisco, CA 94110, USA",37.75232301,-122.4072105
,,3-Feb-13,17:07:08,1,,,"67 Stoneybrook Ave, San Francisco, CA 94112, USA",37.72988806,-122.4218679
,,3-Feb-13,18:17:44,1,,,"2862 Harrison St, San Francisco, CA 94110, USA",37.75167508,-122.4119863
,,3-Feb-13,18:24:08,1,,,"1202 Hampshire St, San Francisco, CA 94110, USA",37.75258612,-122.4073923
,,3-Feb-13,20:00:41,1,,,"1208 Hampshire St, San Francisco, CA 94110, USA",37.75253675,-122.4073815
,,3-Feb-13,20:02:31,8,,,"1208 York St, San Francisco, CA 94110, USA",37.75253472,-122.4083559
,,3-Feb-13,20:25:19,2,,,"68 Patton St, San Francisco, CA 94110, USA",37.73758034,-122.4232727
,,3-Feb-13,15:31:51,1,,,"140 Brookdale Ave, San Francisco, CA 94134, USA",37.71262432,-122.4213916
,,3-Feb-13,18:37:17,3,,,"131 Ward St, San Francisco, CA 94134, USA",37.71878985,-122.4015929
,,3-Feb-13,19:45:18,9,,,"715-729 Bacon St, San Francisco, CA 94134, USA",37.72598408,-122.4099067
,,3-Feb-13,19:49:22,21,,,"2-98 Elliot St, San Francisco, CA 94134, USA",37.71656119,-122.4112599
,,3-Feb-13,19:49:41,1,,,"656 Fulton St, San Francisco, CA 94102, USA",37.77827614,-122.4278921
,,3-Feb-13,18:17:46,1,,,"2890 Harrison St, San Francisco, CA 94110, USA",37.75131059,-122.4119263
,,4-Feb-13,23:30:58,5,,,"1020 Fillmore St, San Francisco, CA 94115, USA",37.77876313,-122.4317061
Single_Gunshot,27188,5-Feb-13,19:54:52,1,,,"121 Apollo St, San Francisco, CA 94124, USA",37.73125459,-122.3984302
,,6-Feb-13,2:34:56,1,,,"I-280, San Francisco, CA 94134, USA",37.73355106,-122.411137
,,6-Feb-13,0:40:59,2,,,"825 Grove St, San Francisco, CA 94117, USA",37.7767595,-122.4305576
,,6-Feb-13,22:22:25,4,,,"714-716 Missouri St, San Francisco, CA 94107, USA",37.75666214,-122.3963107
,,7-Feb-13,1:09:28,5,,,"1 Watchman Way, San Francisco, CA 94107, USA",37.75660913,-122.3960602
,,8-Feb-13,14:51:35,1,,,"1775 17th St, San Francisco, CA 94103, USA",37.76464716,-122.4012527
,,9-Feb-13,2:11:19,1,,,"Bayshore Blvd & US-101 & San Francisco Bicycle Rte 25, San Francisco, CA 94134, USA",37.73138368,-122.4042894
,,10-Feb-13,0:14:42,5,,,"827 Rutland St, San Francisco, CA 94134, USA",37.71215968,-122.4075201
,,10-Feb-13,2:02:08,1,,,"605 Webster St, San Francisco, CA 94117, USA",37.77619997,-122.4296224
,,11-Feb-13,10:01:49,1,,,"350 Hamilton St, San Francisco, CA 94134, USA",37.72649882,-122.4099306
,,11-Feb-13,19:29:21,1,,,"46 Diana St, San Francisco, CA 94124, USA",37.73061986,-122.3963762
,,11-Feb-13,19:37:30,1,,,"6 Pueblo St, San Francisco, CA 94134, USA",37.70907499,-122.41694
,,11-Feb-13,20:01:11,3,,,"1597-1599 Mansell St, San Francisco, CA 94134, USA",37.71776236,-122.4222702
,,14-Feb-13,0:14:20,1,,,"15 Santos St, San Francisco, CA 94134, USA",37.71195211,-122.4182255
,,14-Feb-13,19:48:12,3,,,"222 Tunnel Ave, San Francisco, CA 94134, USA",37.70898284,-122.4017992
,,15-Feb-13,2:19:03,1,,,"1748 Sunnydale Ave, San Francisco, CA 94134, USA",37.71276965,-122.4190064
,,15-Feb-13,10:49:16,10,,,"285 Schwerin St, San Francisco, CA 94134, USA",37.70959915,-122.411731
,,15-Feb-13,20:45:29,3,,,"1800 25th St, San Francisco, CA 94107, USA",37.75307055,-122.3978028
,,16-Feb-13,3:26:05,1,,,"1279-1295 Treat Ave, San Francisco, CA 94110, USA",37.74978493,-122.4124598
,,16-Feb-13,23:07:01,1,,,"1-23 Dakota St, San Francisco, CA 94107, USA",37.7546953,-122.3964121
Multiple_Gunshots,27209,17-Feb-13,17:04:45,4,,,"1705 Palou Ave, San Francisco, CA 94124, USA",37.73512809,-122.3929523
,,17-Feb-13,0:41:01,1,,,"1027 Connecticut St, San Francisco, CA 94107, USA",37.75385269,-122.3967918
Multiple_Gunshots,27213,19-Feb-13,1:22:23,5,,,"900-998 Mendell St, San Francisco, CA 94124, USA",37.73722955,-122.3881251
Single_Gunshot,27215,19-Feb-13,22:25:26,1,,,"4500 3rd St, San Francisco, CA 94124, USA",37.73710644,-122.3900942
,,19-Feb-13,20:58:14,1,,,"971 Hollister Ave, San Francisco, CA 94124, USA",37.71848755,-122.3903287
,,19-Feb-13,2:41:11,1,,,"1800 25th St, San Francisco, CA 94107, USA",37.75304206,-122.3976353
,,20-Feb-13,23:10:34,1,,,"1873 Sunnydale Ave, San Francisco, CA 94134, USA",37.71275307,-122.4205088
,,20-Feb-13,23:43:46,5,,,"1620 25th St, San Francisco, CA 94107, USA",37.7527195,-122.3959373
Multiple_Gunshots,27219,21-Feb-13,20:06:01,5,,,"1765 Quesada Ave, San Francisco, CA 94124, USA",37.73388364,-122.392604
,,21-Feb-13,4:32:15,1,,,"426 Trumbull St, San Francisco, CA 94112, USA",37.73076832,-122.4221234
,,21-Feb-13,4:33:28,1,,,"616 Sweeny St, San Francisco, CA 94134, USA",37.73107747,-122.4156268
Multiple_Gunshots,27221,22-Feb-13,7:50:27,8,,,"1475 Quesada Ave, San Francisco, CA 94124, USA",37.73077057,-122.387383
Single_Gunshot,27228,23-Feb-13,21:50:36,1,,,"1827 Ingalls St, San Francisco, CA 94124, USA",37.72759917,-122.3853179
Single_Gunshot,27230,23-Feb-13,22:05:29,1,,,"601 25th St, San Francisco, CA 94107, USA",37.75217018,-122.385042
,,23-Feb-13,22:10:33,1,,,"154 S Van Ness Ave, San Francisco, CA 94103, USA",37.77114873,-122.4184906
,,23-Feb-13,20:04:15,1,,,"369 Rio Verde St, Daly City, CA 94014, USA",37.70238344,-122.4178383
,,23-Feb-13,21:50:37,1,,,"1340 Van Dyke Ave, San Francisco, CA 94124, USA",37.72663431,-122.3870451
,,23-Feb-13,2:42:22,1,,,"2-76 Dakota St, San Francisco, CA 94107, USA",37.75421298,-122.3967608
,,23-Feb-13,22:05:23,2,,,"351-563 24th St, San Francisco, CA 94107, USA",37.75421819,-122.38508
,,24-Feb-13,2:02:52,2,,,"910-924 Shotwell St, San Francisco, CA 94110, USA",37.75353153,-122.4153656
,,24-Feb-13,0:57:36,1,,,"139-145 Webster St, San Francisco, CA 94117, USA",37.77197956,-122.428769
,,24-Feb-13,3:49:44,1,,,"1634 Armstrong Ave, San Francisco, CA 94124, USA",37.72652828,-122.3927352
,,24-Feb-13,22:16:05,1,,,"16 Wheat St, San Francisco, CA 94124, USA",37.72307978,-122.4002649
,,24-Feb-13,2:28:53,1,,,"1205 Connecticut St, San Francisco, CA 94107, USA",37.75092898,-122.3959924
,,25-Feb-13,17:15:21,1,,,"101-199 Hubbell St, San Francisco, CA 94107, USA",37.76744677,-122.3970454
Multiple_Gunshots,27235,27-Feb-13,14:38:04,10,,,"1721 Newcomb Ave, San Francisco, CA 94124, USA",37.7362343,-122.3922982
,,27-Feb-13,5:05:16,1,,,"2215 McKinnon Ave, San Francisco, CA 94124, USA",37.74249917,-122.4013368
,,27-Feb-13,19:38:31,1,,,"319 Bayshore Blvd, San Francisco, CA 94124, USA",37.74290566,-122.4052282
,,2-Mar-13,2:47:01,1,,,"1433-1491 Hampshire St, San Francisco, CA 94110, USA",37.74931549,-122.4065659
,,2-Mar-13,20:38:05,5,,,"1816 20th St, San Francisco, CA 94107, USA",37.7598785,-122.3993985
,,3-Mar-13,0:04:29,1,,,"1501 Sunnydale Ave, San Francisco, CA 94134, USA",37.7114033,-122.41749
,,3-Mar-13,5:40:25,3,,,"1400-1450 Mansell St, San Francisco, CA 94134, USA",37.71845476,-122.4163818
Multiple_Gunshots,27247,4-Mar-13,8:23:22,6,,,"1425 Mendell St, San Francisco, CA 94124, USA",37.73427494,-122.3902877
Multiple_Gunshots,27251,5-Mar-13,18:50:45,5,,,"1172 Oakdale Ave, San Francisco, CA 94124, USA",37.73031219,-122.3824361
,,9-Mar-13,2:50:55,1,,,"463 Ellsworth St, San Francisco, CA 94110, USA",37.73760986,-122.4143911
,,9-Mar-13,20:39:57,1,,,"280-298 Bayshore Blvd, San Francisco, CA, USA",37.74318893,-122.4051824
,,9-Mar-13,23:26:05,1,,,"700 Pennsylvania Ave, San Francisco, CA 94107, USA",37.75746736,-122.3931588
Single_Gunshot,27263,11-Mar-13,19:38:54,1,,,"2277 McKinnon Ave, San Francisco, CA 94124, USA",37.74344708,-122.4027417
,,11-Mar-13,23:17:17,6,,,"3351-3399 San Bruno Ave, San Francisco, CA 94134, USA",37.71921679,-122.400447
,,12-Mar-13,11:52:24,1,,,"1261 Connecticut St, San Francisco, CA 94107, USA",37.75009695,-122.3963225
,,13-Mar-13,22:59:28,5,,,"58 Tioga Ave, San Francisco, CA 94134, USA",37.71632074,-122.4042192
,,13-Mar-13,20:36:37,2,,,"153-171 Bayshore Blvd, San Francisco, CA 94124, USA",37.74599283,-122.4039981
Multiple_Gunshots,27270,15-Mar-13,22:14:41,7,,,"1501 Kirkwood Ave, San Francisco, CA 94124, USA",37.7370137,-122.3884234
,,16-Mar-13,22:24:15,10,,,"1110-1198 Golden Gate Ave, San Francisco, CA 94115, USA",37.78010918,-122.4292081
,,17-Mar-13,0:35:51,3,,,"315 Sawyer St, San Francisco, CA 94134, USA",37.71407846,-122.4140145
,,17-Mar-13,1:36:04,2,,,"2 Hahn St, San Francisco, CA 94134, USA",37.71436003,-122.4150086
,,17-Mar-13,2:55:40,2,,,"1284-1298 Eddy St, San Francisco, CA 94115, USA",37.78197934,-122.4287072
,,17-Mar-13,16:56:00,2,,,"67-125 Barneveld Ave, San Francisco, CA 94124, USA",37.74557867,-122.4028501
,,19-Mar-13,22:04:54,1,,,"99 Grove St, San Francisco, CA 94102, USA",37.77851702,-122.4172774
,,19-Mar-13,1:55:54,1,,,"501 Vermont St, San Francisco, CA 94107, USA",37.76332344,-122.404097
Single_Gunshot,27275,20-Mar-13,20:06:54,1,,,"2277 McKinnon Ave, San Francisco, CA 94124, USA",37.743442,-122.4027878
,,21-Mar-13,5:31:20,5,,,"152 Dakota St, San Francisco, CA 94107, USA",37.75290557,-122.3958888
,,22-Mar-13,22:28:37,1,,,"1640 Folsom St, San Francisco, CA 94103, USA",37.77032877,-122.4156389
,,22-Mar-13,20:20:24,1,,,"17 Blythdale Ave, San Francisco, CA 94134, USA",37.71010981,-122.4176255
,,22-Mar-13,22:54:14,1,,,"1272-1276 Market St, San Francisco, CA 94102, USA",37.77790701,-122.4158913
Single_Gunshot,27280,23-Mar-13,2:00:38,1,,,"1301-1349 Newcomb Ave, San Francisco, CA 94124, USA",37.73341761,-122.3845374
,,23-Mar-13,3:15:06,2,,,"501 Anderson St, San Francisco, CA 94110, USA",37.73715334,-122.4153186
,,23-Mar-13,2:03:36,1,,,"501 Crescent Way, San Francisco, CA 94134, USA",37.71195223,-122.3884492
,,23-Mar-13,16:51:54,1,,,"182 Brookdale Ave, San Francisco, CA 94134, USA",37.71160219,-122.4230487
,,23-Mar-13,22:22:18,5,,,"1801-1899 23rd St, San Francisco, CA 94107, USA",37.75443922,-122.3978454
,,24-Mar-13,17:25:16,3,,,"4033 Mission St, San Francisco, CA 94112, USA",37.73295897,-122.4268306
Multiple_Gunshots,27288,25-Mar-13,12:45:41,8,,,"1606 Newcomb Ave, San Francisco, CA 94124, USA",37.73551468,-122.3900952
,,26-Mar-13,22:18:58,5,,,"5 Horace St, San Francisco, CA 94110, USA",37.7504028,-122.4144512
,,27-Mar-13,18:26:45,1,,,"575 Shotwell St, San Francisco, CA 94110, USA",37.75916551,-122.4157579
Single_Gunshot,27293,29-Mar-13,1:09:07,1,,,"1701 Newcomb Ave, San Francisco, CA 94124, USA",37.73608678,-122.3920501
Single_Gunshot,27300,29-Mar-13,20:50:38,1,,,"1230 Revere Ave, San Francisco, CA 94124, USA",37.7280197,-122.3831056
,,29-Mar-13,22:35:31,4,,,"2817 Bush St, San Francisco, CA 94115, USA",37.78543954,-122.4440341
,,30-Mar-13,3:58:34,1,,,"3430 19th St, San Francisco, CA 94110, USA",37.76026243,-122.4201218
,,30-Mar-13,20:08:09,1,,,"1606 Yosemite Ave, San Francisco, CA 94124, USA",37.72722844,-122.3916261
Multiple_Gunshots,27310,31-Mar-13,11:37:22,6,,,"1075-1099 Oakdale Ave, San Francisco, CA 94124, USA",37.72939399,-122.3812602
,,31-Mar-13,20:15:55,1,,,"310 Alemany Blvd, San Francisco, CA 94110, USA",37.73164818,-122.4177686
,,31-Mar-13,2:29:33,1,,,"3380 19th St, San Francisco, CA 94110, USA",37.76032238,-122.4188699
,,31-Mar-13,4:56:12,2,,,"Bayshore Fwy, San Francisco, CA 94110, USA",37.74886771,-122.4040024
,,31-Mar-13,2:29:33,1,,,"3380 19th St, San Francisco, CA 94110, USA",37.76033278,-122.4188144
,,31-Mar-13,19:49:31,3,,,"1316 Bowdoin St, San Francisco, CA 94134, USA",37.71928387,-122.4080027
,,31-Mar-13,4:56:11,4,,,"Cesar Chavez St & El Camino Real & US-101, San Francisco, CA 94124, USA",37.74906202,-122.4033937
,,31-Mar-13,22:19:21,1,,,"146 Dakota St, San Francisco, CA 94107, USA",37.75311489,-122.3956072
,,2-Apr-13,0:32:54,2,,,"1096 Eddy St, San Francisco, CA 94109, USA",37.7827067,-122.425898
Multiple_Gunshots,27319,3-Apr-13,22:56:59,4,,,"1400 Newcomb Ave, San Francisco, CA 94124, USA",37.73330969,-122.3848241
,,3-Apr-13,22:00:40,1,,,"463 Ellsworth St, San Francisco, CA 94110, USA",37.7376229,-122.4143951
,,4-Apr-13,20:06:47,3,,,"865 Market St, San Francisco, CA 94103, USA",37.78425682,-122.4075376
Multiple_Gunshots,27324,5-Apr-13,23:13:41,6,,,"2200 Hawes St, San Francisco, CA 94124, USA",37.72221206,-122.3877837
,,5-Apr-13,23:48:35,1,,,"524 Valencia St, San Francisco, CA 94110, USA",37.76441626,-122.4221572
,,5-Apr-13,11:07:55,1,,,"344 Hamilton St, San Francisco, CA 94134, USA",37.72662845,-122.4099639
,,5-Apr-13,23:50:48,1,,,"1846 Sunnydale Ave, San Francisco, CA 94134, USA",37.71321413,-122.4203818
Single_Gunshot,27325,6-Apr-13,9:16:13,1,,,"1320 Wallace Ave, San Francisco, CA 94124, USA",37.72526975,-122.3862355
