Type,"Respond ID",Date,Time,Address,Zone,Rounds,"CAD ID",Beat,District,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Multiple Gunshots",661-162638,12/31/20,21:44:27,"1600 blk Owens St, Bakersfield, CA 93305",BakersfieldCA,5,20-240061,BP303,Metro,35.384224,-118.985284,1,range_interpolation,1600,"Owens St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Probable Gunfire",661-162629,12/31/20,21:42:52,"10 blk CA-178, Bakersfield, CA 93305",BakersfieldCA,2,20-240059,BP300,Metro,35.381178,-119.037534,0.69,street_center,,"State Rte 178",,,Bakersfield,CA,"Kern County",93301,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-162612,12/31/20,21:38:03,"300 blk Kincaid St, Bakersfield, CA 93307",BakersfieldCA,5,20-240055,BP327,Metro,35.359516,-118.993154,1,rooftop,300,"Kincaid St",,,Bakersfield,CA,"Kern County",93307,US,"Kern (Kern County)"
"Multiple Gunshots",661-162584,12/31/20,21:31:58,"100 blk S King St, Bakersfield, CA 93305",BakersfieldCA,3,240053,BP322,Metro,35.368843,-118.994262,1,range_interpolation,100,"King St",,,Bakersfield,CA,"Kern County",93305,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-162477,12/31/20,21:01:45,"900 blk Espee St, Bakersfield, CA 93301",BakersfieldCA,6,240033,,Hill,35.384994,-119.011842,1,range_interpolation,900,"Espee St",,,Bakersfield,CA,"Kern County",93301,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-162476,12/31/20,21:01:43,"200 blk Rodman St, Bakersfield, CA 93307",BakersfieldCA,4,240030,BP322,Metro,35.357652,-118.998273,1,rooftop,200,"Rodman St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-162465,12/31/20,20:58:58,"200 blk Rodman St, Bakersfield, CA 93307",BakersfieldCA,3,240030,BP322,Metro,35.357652,-118.998273,1,rooftop,200,"Rodman St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-162342,12/31/20,20:23:46,"20 blk P St, Bakersfield, CA 93304",BakersfieldCA,4,240012,BP235,Metro,35.354578,-119.011744,1,range_interpolation,20,"P St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-162341,12/31/20,20:23:33,"20 blk P St, Bakersfield, CA 93304",BakersfieldCA,2,240012,BP235,Metro,35.354578,-119.011744,1,range_interpolation,20,"P St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-162216,12/31/20,19:40:35,"400 blk Powell Ln, Bakersfield, CA 93307",BakersfieldCA,6,20-239988,,,35.361402,-118.980553,1,range_interpolation,400,"Powell Ln",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-162157,12/31/20,19:22:00,"1100 blk Ralston St, Bakersfield, CA 93307",BakersfieldCA,2,20-239977,BP326,Metro,35.363157,-118.990639,1,rooftop,1100,"Ralston St",,,Bakersfield,CA,"Kern County",93307,US,"Kern (Kern County)"
"Multiple Gunshots",661-162006,12/31/20,18:30:25,"700 blk 33rd St, Bakersfield, CA 93301",BakersfieldCA,2,20-239941,BP406,Hill,35.389688,-119.009761,1,rooftop,700,"33rd St",,,Bakersfield,CA,"Kern County",93301,US,"Kern (Kern County)"
"Multiple Gunshots",661-161910,12/31/20,17:40:41,"300 blk N St, Bakersfield, CA 93304",BakersfieldCA,2,20-239919,BP182,Valley,35.358731,-119.014168,1,range_interpolation,300,"N St",,,Bakersfield,CA,"Kern County",93304,US,"TIGER/Line® dataset from the US Census Bureau"
