address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2417 Columbia Blvd",Richmond,CA,37.903458,-122.315792,1,rooftop,2417,"Columbia Blvd",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"13 Bissell Way",Richmond,CA,37.93441,-122.359273,1,rooftop,13,"Bissell Way",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"629 20th St",Richmond,CA,37.941024,-122.350788,1,rooftop,629,"20th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2455 Bancroft Ln",Richmond,CA,37.96615,-122.336073,0.9,rooftop,2455,"Bancroft Ln",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"4101 41st S St",Richmond,CA,37.926517,-122.330387,0.9,rooftop,4101,"S 41st St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1219 Greenway Dr",Richmond,CA,37.980738,-122.313387,0.86,rooftop,1219,"Greenway Dr",,,"El Sobrante",CA,"Contra Costa County",94803,US,"Contra Costa County"
"1203 Greenway Dr",Richmond,CA,37.980676,-122.313136,0.86,rooftop,1203,"Greenway Dr",,,"El Sobrante",CA,"Contra Costa County",94803,US,"Contra Costa County"
"2704 Ridge Rd",Richmond,CA,37.958103,-122.333404,0.9,rooftop,2704,"Ridge Rd",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"366 41st S St",Richmond,CA,37.934081,-122.33047,1,range_interpolation,366,"41st St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"1301 Park Central Ct",Richmond,CA,37.984014,-122.314005,0.9,rooftop,1301,"Park Central Ct",,,"El Sobrante",CA,"Contra Costa County",94803,US,"Contra Costa County"
"1905 Downey Pl",Richmond,CA,37.928126,-122.312145,0.9,rooftop,1905,"Downey Pl",,,"El Cerrito",CA,"Contra Costa County",94530,US,"Contra Costa County"
"3046 Shane Dr",Richmond,CA,37.972947,-122.329963,0.9,rooftop,3046,"Shane Dr",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"12999 San Pablo Ave",Richmond,CA,37.948823,-122.332351,1,rooftop,12999,"San Pablo Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"200 Florida Ave",Richmond,CA,37.92923,-122.367752,1,rooftop,200,"Florida Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"615-617 1st St",Richmond,CA,37.940595,-122.368591,0.9,nearest_rooftop_match,615,"1st St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"300 Bissell Ave",Richmond,CA,37.933846,-122.366514,1,rooftop,300,"Bissell Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"840 Parr Blvd",Richmond,CA,37.967058,-122.358016,1,rooftop,840,"Parr Blvd",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2950 Rollingwood Dr",Richmond,CA,37.830119,-121.914302,0.7,rooftop,2950,"Deer Meadow Dr",,,Danville,CA,"Contra Costa County",94506,US,"Contra Costa County"
"2927 Arundel Way",Richmond,CA,37.963774,-122.328937,0.9,rooftop,2927,"Arundel Way",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"2566 Macdonald Ave",Richmond,CA,37.934981,-122.343963,1,rooftop,2566,"Macdonald Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1605 Lincoln Ave",Richmond,CA,37.946201,-122.354471,1,rooftop,1605,"Lincoln Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"451 Spring St",Richmond,CA,37.925745,-122.34074,1,rooftop,451,"Spring St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"PARK Ave",Richmond,CA,37.947523,-122.384032,0.5,place,,,,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"1727 Giaramita St",Richmond,CA,37.958036,-122.363605,1,rooftop,1727,"Giaramita St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"5136 Solano Ave",Richmond,CA,37.942715,-122.32538,1,rooftop,5136,"Solano Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"717 Amador St",Richmond,CA,37.942588,-122.323025,1,rooftop,717,"Amador St",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"200 3rd S St",Richmond,CA,37.933914,-122.366668,1,range_interpolation,200,"3rd St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"419 20th S St",Richmond,CA,37.937266,-122.350835,1,rooftop,419,"20th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"801 Humboldt St",Richmond,CA,37.945163,-122.325437,1,rooftop,801,"Humboldt St",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"1801 Costa Ave",Richmond,CA,37.950436,-122.351911,0.9,rooftop,1801,"Costa Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"726 9th St",Richmond,CA,37.943174,-122.360624,1,rooftop,726,"9th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"143 16th S St",Richmond,CA,37.933159,-122.354413,1,range_interpolation,143,"16th St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"4233 Center Ave",Richmond,CA,37.930142,-122.329167,1,rooftop,4233,"Center Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1423 Nevin Plz",Richmond,CA,37.93702,-122.355361,1,rooftop,1423,"Nevin Plz",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"3104 Bristol Ct",Richmond,CA,37.969335,-122.333144,0.9,rooftop,3104,"Bristol Ct",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"SAN Pablo Town Center",Richmond,CA,37.945297,-122.329957,1,street_center,,"San Pablo Ave",,,Richmond,CA,"Contra Costa County",94805,US,"TIGER/Line® dataset from the US Census Bureau"
"2442 Cutting Blvd",Richmond,CA,37.924917,-122.345659,1,rooftop,2442,"Cutting Blvd",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
