address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2633 WESSON WY",Stockton,CA,37.925956,-121.260845,1,rooftop,2633,"Wesson Way",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2160 S AMERICAN ST",Stockton,CA,37.930501,-121.276418,1,rooftop,2160,"S American St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"501 E FOURTH ST",Stockton,CA,37.935001,-121.279269,1,rooftop,501,"E 4th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"205 E THIRD ST",Stockton,CA,37.935575,-121.283364,1,rooftop,205,"E 3rd St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1410 S AURORA ST",Stockton,CA,37.940594,-121.275353,1,rooftop,1410,"S Aurora St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"101 DELHI AV",Stockton,CA,37.930265,-121.285701,1,rooftop,101,"Delhi Ave",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1667 S SUTTER ST",Stockton,CA,37.935878,-121.281423,1,rooftop,1667,"S Sutter St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"AZTEC AV/E SEVENTH ST",Stockton,CA,37.934996,-121.2597,0.91,intersection,,"Aztec Ave",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"220 E CLAY ST",Stockton,CA,37.939973,-121.284331,1,rooftop,220,"E Clay St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2204 S CALIFORNIA ST",Stockton,CA,37.929771,-121.277557,1,rooftop,2204,"S California St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1505 JULIAN ST",Stockton,CA,37.930316,-121.264907,1,rooftop,1505,"Julian St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"SCRIBNER ST/E SIXTH ST",Stockton,CA,37.935546,-121.264416,0.67,intersection,,"E 6th St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"1725 S EL DORADO ST",Stockton,CA,37.934857,-121.285078,1,rooftop,1725,"S El Dorado St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"401 DELHI AV",Stockton,CA,37.929179,-121.290848,1,rooftop,401,"Delhi Ave",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1930 S AIRPORT WY",Stockton,CA,37.935329,-121.268229,1,range_interpolation,1930,"S Airport Way",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"704 E FIFTH ST",Stockton,CA,37.933709,-121.276019,1,rooftop,704,"E 5th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1562 E NINTH ST",Stockton,CA,37.931113,-121.262685,1,rooftop,1562,"E 9th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2140 S SUTTER ST",Stockton,CA,37.930125,-121.279006,1,rooftop,2140,"S Sutter St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"704 W FIFTH ST",Stockton,CA,37.930516,-121.29663,1,rooftop,704,"W 5th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2707 PLAYA DEL SOL AV",Stockton,CA,37.924975,-121.264141,1,rooftop,2707,"Playa Del Sol Ave",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"547 E NINTH ST",Stockton,CA,37.928778,-121.276284,1,rooftop,547,"E 9th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1711 S TURNPIKE RD",Stockton,CA,37.933021,-121.295114,0.8,rooftop,1711,"Turnpike Rd",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2335 S COMMERCE ST",Stockton,CA,37.92706,-121.284405,1,rooftop,2335,"S Commerce St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"TWELFTH ST/S AIRPORT WY",Stockton,CA,37.923543,-121.264022,0.79,intersection,,"S Airport Way",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"607 E FIRST ST",Stockton,CA,37.938982,-121.278714,1,rooftop,607,"E 1st St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1522 E SEVENTH ST",Stockton,CA,37.932789,-121.265178,1,rooftop,1522,"E 7th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2274 S SAN JOAQUIN ST",Stockton,CA,37.928301,-121.278929,1,rooftop,2274,"S San Joaquin St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1404 E SIXTH ST",Stockton,CA,37.934644,-121.267633,1,rooftop,1404,"E 6th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"4401 LA CRESTA WY",Stockton,CA,37.992789,-121.296379,1,rooftop,4401,"La Cresta Way",,,Stockton,CA,"San Joaquin County",95207,US,"City of Stockton"
"1431 E EIGHTH ST",Stockton,CA,37.931802,-121.266152,1,rooftop,1431,"E 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"LE MANS AV/CHAMBORD DR",Stockton,CA,38.024772,-121.288152,1,intersection,,"Chambord Dr",,,Stockton,CA,"San Joaquin County",95210,US,"TIGER/Line® dataset from the US Census Bureau"
"2406 VOLNEY ST",Stockton,CA,37.929467,-121.263288,1,rooftop,2406,"Volney St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"42 HOWARD ST",Stockton,CA,37.931583,-121.28506,1,rooftop,42,"Howard St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1520 TWELFTH ST",Stockton,CA,37.926656,-121.263338,1,range_interpolation,1520,"Twelfth St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"2563 S LINCOLN ST",Stockton,CA,37.92317,-121.288864,1,rooftop,2563,"S Lincoln St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1460 E SIXTH ST",Stockton,CA,37.93415,-121.267304,1,rooftop,1460,"E 6th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"721 E MARTIN LUTHER KING BL",Stockton,CA,37.940674,-121.277688,1,rooftop,721,"E Martin Luther King Jr Blvd",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"608 E MARTIN LUTHER KING BL",Stockton,CA,37.939832,-121.279156,1,rooftop,608,"E Martin Luther King Jr Blvd",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"4100 E STATE ROUTE 88",Stockton,CA,37.985724,-121.246953,1,rooftop,4100,"E State Route 88",,,Stockton,CA,"San Joaquin County",95215,US,"City of Stockton"
"28 W EIGHTH ST",Stockton,CA,37.928732,-121.28363,1,rooftop,28,"W 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1510 E SIXTH ST",Stockton,CA,37.934843,-121.266341,1,rooftop,1510,"E 6th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1540 ELEVENTH ST",Stockton,CA,37.92792,-121.262584,1,range_interpolation,1540,"Eleventh St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"PHELPS ST/E EIGHTH ST",Stockton,CA,37.931453,-121.265742,0.8,intersection,,"E 8th St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"1502 S EL DORADO ST",Stockton,CA,37.937535,-121.285273,1,rooftop,1502,"S El Dorado St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2121 S AMERICAN ST",Stockton,CA,37.931016,-121.277243,1,rooftop,2121,"S American St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2315 S HARRISON ST",Stockton,CA,37.925662,-121.291806,1,rooftop,2315,"S Harrison St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1602 S STANISLAUS ST",Stockton,CA,37.937596,-121.277266,1,rooftop,1602,"S Stanislaus St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1736 S STANISLAUS ST",Stockton,CA,37.935843,-121.276651,1,rooftop,1736,"S Stanislaus St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"644 E THIRD ST",Stockton,CA,37.936265,-121.277466,1,rooftop,644,"E 3rd St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1313 E MARTIN LUTHER KING BL",Stockton,CA,37.941986,-121.27013,1,rooftop,1313,"E Martin Luther King Jr Blvd",,,Stockton,CA,"San Joaquin County",95205,US,"City of Stockton"
"1590 E SIXTH ST",Stockton,CA,37.934799,-121.265444,1,rooftop,1590,"E 6th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2649 S CALIFORNIA ST",Stockton,CA,37.947325,-121.283045,0.7,street_center,,"S California St",,,Stockton,CA,"San Joaquin County",95203,US,"TIGER/Line® dataset from the US Census Bureau"
"2046 SCRIBNER ST",Stockton,CA,37.935091,-121.260459,1,rooftop,2046,"Scribner St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2513 S CALIFORNIA ST",Stockton,CA,37.976354,-121.291684,0.7,nearest_rooftop_match,2511,"N California St",,,Stockton,CA,"San Joaquin County",95204,US,"City of Stockton"
"1702 E SEVENTH ST",Stockton,CA,37.934698,-121.260288,1,rooftop,1702,"E 7th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1557 S SAN JOAQUIN ST",Stockton,CA,37.936987,-121.283003,1,rooftop,1557,"S San Joaquin St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2129 S AMERICAN ST",Stockton,CA,37.930887,-121.277184,1,rooftop,2129,"S American St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"2747 S BIEGHLE ST",Stockton,CA,37.927085,-121.256579,1,rooftop,2747,"S Bieghle St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"1562 E SEVENTH ST",Stockton,CA,37.933166,-121.263511,1,rooftop,1562,"E 7th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"350 E NINTH ST",Stockton,CA,37.927888,-121.278674,1,range_interpolation,350,"E 9th St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
"66 W FIFTH ST",Stockton,CA,37.932439,-121.285865,1,rooftop,66,"W 5th St",,,Stockton,CA,"San Joaquin County",95206,US,"City of Stockton"
"550 E SIXTH ST",Stockton,CA,37.932283,-121.277935,1,range_interpolation,550,"E 6th St",,,Stockton,CA,"San Joaquin County",95206,US,"TIGER/Line® dataset from the US Census Bureau"
